Data;Cena;Akcyza;Oplata_paliwowa
25/12/2020;2 283,00;232;0
24/12/2020;2 289,00;232;0
23/12/2020;2 258,00;232;0
22/12/2020;2 262,00;232;0
19/12/2020;2 270,00;232;0
18/12/2020;2 244,00;232;0
17/12/2020;2 231,00;232;0
16/12/2020;2 237,00;232;0
15/12/2020;2 219,00;232;0
12/12/2020;2 224,00;232;0
11/12/2020;2 231,00;232;0
10/12/2020;2 200,00;232;0
09/12/2020;2 209,00;232;0
08/12/2020;2 205,00;232;0
05/12/2020;2 181,00;232;0
04/12/2020;2 182,00;232;0
03/12/2020;2 183,00;232;0
02/12/2020;2 187,00;232;0
01/12/2020;2 193,00;232;0
28/11/2020;2 204,00;232;0
27/11/2020;2 195,00;232;0
26/11/2020;2 196,00;232;0
25/11/2020;2 197,00;232;0
24/11/2020;2 135,00;232;0
21/11/2020;2 102,00;232;0
20/11/2020;2 104,00;232;0
19/11/2020;2 099,00;232;0
18/11/2020;2 095,00;232;0
17/11/2020;2 100,00;232;0
14/11/2020;2 105,00;232;0
13/11/2020;2 116,00;232;0
11/11/2020;2 110,00;232;0
10/11/2020;2 068,00;232;0
07/11/2020;2 040,00;232;0
06/11/2020;2 052,00;232;0
05/11/2020;2 067,00;232;0
04/11/2020;2 029,00;232;0
03/11/2020;2 018,00;232;0
31/10/2020;2 019,00;232;0
30/10/2020;2 031,00;232;0
29/10/2020;2 044,00;232;0
28/10/2020;2 053,00;232;0
27/10/2020;2 054,00;232;0
24/10/2020;2 069,00;232;0
23/10/2020;2 078,00;232;0
22/10/2020;2 083,00;232;0
21/10/2020;2 095,00;232;0
20/10/2020;2 101,00;232;0
17/10/2020;2 108,00;232;0
16/10/2020;2 095,00;232;0
15/10/2020;2 078,00;232;0
14/10/2020;2 061,00;232;0
13/10/2020;2 066,00;232;0
10/10/2020;2 077,00;232;0
09/10/2020;2 080,00;232;0
08/10/2020;2 057,00;232;0
07/10/2020;2 075,00;232;0
06/10/2020;2 032,00;232;0
03/10/2020;2 032,00;232;0
02/10/2020;2 040,00;232;0
01/10/2020;2 052,00;232;0
30/09/2020;2 059,00;232;0
29/09/2020;2 064,00;232;0
26/09/2020;2 042,00;232;0
25/09/2020;2 019,00;232;0
24/09/2020;2 014,00;232;0
23/09/2020;2 003,00;232;0
22/09/2020;2 008,00;232;0
19/09/2020;2 022,00;232;0
18/09/2020;2 024,00;232;0
17/09/2020;1 969,00;232;0
16/09/2020;1 956,00;232;0
15/09/2020;1 959,00;232;0
12/09/2020;1 966,00;232;0
11/09/2020;1 978,00;232;0
10/09/2020;1 986,00;232;0
09/09/2020;2 002,00;232;0
08/09/2020;2 029,00;232;0
05/09/2020;2 042,00;232;0
04/09/2020;2 056,00;232;0
03/09/2020;2 079,00;232;0
02/09/2020;2 094,00;232;0
31/08/2020;2 104,00;232;0
29/08/2020;2 104,00;232;0
28/08/2020;2 111,00;232;0
27/08/2020;2 120,00;232;0
26/08/2020;2 128,00;232;0
25/08/2020;2 124,00;232;0
22/08/2020;2 109,00;232;0
21/08/2020;2 119,00;232;0
20/08/2020;2 119,00;232;0
19/08/2020;2 128,00;232;0
18/08/2020;2 131,00;232;0
15/08/2020;2 133,00;232;0
14/08/2020;2 136,00;232;0
13/08/2020;2 149,00;232;0
12/08/2020;2 137,00;232;0
11/08/2020;2 132,00;232;0
08/08/2020;2 137,00;232;0
07/08/2020;2 150,00;232;0
06/08/2020;2 150,00;232;0
05/08/2020;2 130,00;232;0
04/08/2020;2 122,00;232;0
01/08/2020;2 121,00;232;0
31/07/2020;2 117,00;232;0
30/07/2020;2 140,00;232;0
29/07/2020;2 135,00;232;0
28/07/2020;2 150,00;232;0
25/07/2020;2 184,00;232;0
24/07/2020;2 185,00;232;0
23/07/2020;2 178,00;232;0
22/07/2020;2 220,00;232;0
21/07/2020;2 180,00;232;0
18/07/2020;2 183,00;232;0
17/07/2020;2 193,00;232;0
16/07/2020;2 195,00;232;0
15/07/2020;2 200,00;232;0
14/07/2020;2 203,00;232;0
11/07/2020;2 214,00;232;0
10/07/2020;2 219,00;232;0
09/07/2020;2 223,00;232;0
08/07/2020;2 216,00;232;0
07/07/2020;2 221,00;232;0
06/07/2020;2 193,00;232;0
04/07/2020;2 193,00;232;0
03/07/2020;2 176,00;232;0
02/07/2020;2 159,00;232;0
01/07/2020;2 161,00;232;0
30/06/2020;2 145,00;232;0
27/06/2020;2 161,00;232;0
26/06/2020;2 177,00;232;0
25/06/2020;2 185,00;232;0
24/06/2020;2 203,00;232;0
23/06/2020;2 205,00;232;0
20/06/2020;2 201,00;232;0
19/06/2020;2 158,00;232;0
18/06/2020;2 141,00;232;0
17/06/2020;2 117,00;232;0
16/06/2020;2 084,00;232;0
15/06/2020;2 085,00;232;0
13/06/2020;2 110,00;232;0
11/06/2020;2 110,00;232;0
10/06/2020;2 105,00;232;0
09/06/2020;2 090,00;232;0
06/06/2020;2 096,00;232;0
05/06/2020;2 017,00;232;0
04/06/2020;2 017,00;232;0
03/06/2020;2 025,00;232;0
02/06/2020;1 974,00;232;0
30/05/2020;1 982,00;232;0
29/05/2020;1 990,00;232;0
28/05/2020;2 001,00;232;0
27/05/2020;2 001,00;232;0
23/05/2020;1 993,00;232;0
22/05/2020;1 992,00;232;0
21/05/2020;1 977,00;232;0
20/05/2020;1 958,00;232;0
19/05/2020;1 972,00;232;0
16/05/2020;1 821,00;232;0
15/05/2020;1 750,00;232;0
14/05/2020;1 708,00;232;0
13/05/2020;1 696,00;232;0
12/05/2020;1 696,00;232;0
08/05/2020;1 686,00;232;0
07/05/2020;1 655,00;232;0
06/05/2020;1 676,00;232;0
05/05/2020;1 602,00;232;0
02/05/2020;1 652,00;232;0
01/05/2020;1 652,00;232;0
30/04/2020;1 562,00;232;0
29/04/2020;1 530,00;232;0
28/04/2020;1 539,00;232;0
25/04/2020;1 575,00;232;0
24/04/2020;1 617,00;232;0
23/04/2020;1 641,00;232;0
22/04/2020;1 668,00;232;0
21/04/2020;1 712,00;232;0
18/04/2020;1 743,00;232;0
17/04/2020;1 729,00;232;0
16/04/2020;1 751,00;232;0
15/04/2020;1 790,00;232;0
10/04/2020;1 823,00;232;0
09/04/2020;1 835,00;232;0
08/04/2020;1 849,00;232;0
07/04/2020;1 859,00;232;0
04/04/2020;1 856,00;232;0
03/04/2020;1 789,00;232;0
02/04/2020;1 811,00;232;0
01/04/2020;1 837,00;232;0
